User_ID,Age,Gender,Occupation,Device_Type,Daily_Phone_Hours,Social_Media_Hours,Work_Productivity_Score,Sleep_Hours,Stress_Level,App_Usage_Count,Caffeine_Intake_Cups,Weekend_Screen_Time_Hours,stress_target
U25,44,Female,Business Owner,Android,3.7,4.2,7,6.7,6,40,5,12.0,estressado
U26,32,Female,Professional,iOS,10.1,7.5,8,7.3,10,31,4,6.9,muito estressado
U27,46,Male,Business Owner,iOS,1.2,6.5,4,5.7,10,15,3,11.1,muito estressado
U28,55,Other,Student,iOS,9.7,6.1,1,6.3,10,18,2,5.1,muito estressado
U29,35,Male,Professional,iOS,11.7,1.6,1,4.9,10,42,4,4.7,muito estressado
U30,18,Other,Student,iOS,11.4,7.8,3,5.4,7,41,0,8.9,estressado
U31,28,Other,Student,Android,2.1,2.3,1,4.3,9,59,1,10.4,muito estressado
U32,45,Other,Freelancer,Android,5.8,3.8,4,5.9,10,25,0,7.9,muito estressado
U33,39,Other,Professional,Android,8.2,2.3,8,7.8,6,41,3,4.1,estressado
U34,35,Other,Freelancer,iOS,3.4,2.0,7,7.1,6,21,1,9.8,estressado
U35,27,Female,Student,Android,11.8,6.3,5,6.0,1,40,0,13.3,sem estresse
U36,31,Male,Freelancer,Android,7.1,2.0,9,8.4,5,58,0,6.1,estressado
U37,39,Female,Professional,iOS,3.8,2.4,9,4.4,2,46,1,5.3,sem estresse
U38,24,Male,Freelancer,iOS,3.9,6.4,6,7.9,5,57,1,5.1,estressado
U39,23,Other,Professional,Android,8.3,0.5,2,4.3,5,52,1,3.8,estressado
U40,42,Male,Student,iOS,1.8,2.0,2,6.6,10,54,4,7.0,muito estressado
U41,24,Male,Student,iOS,3.4,4.7,2,5.1,2,47,6,12.4,sem estresse
U42,40,Female,Professional,iOS,9.6,6.2,3,4.6,7,46,0,3.6,estressado
U43,40,Female,Student,iOS,1.2,0.6,5,7.9,8,6,0,5.1,muito estressado
U44,56,Male,Professional,Android,1.0,7.1,9,7.7,10,23,6,2.1,muito estressado
U45,34,Female,Professional,iOS,1.5,6.4,7,6.6,9,17,2,5.6,muito estressado
U46,20,Male,Student,iOS,9.0,0.9,6,8.7,4,56,5,8.6,baixo estresse
U47,47,Female,Freelancer,iOS,5.5,6.9,10,5.1,9,6,6,2.1,muito estressado
U48,52,Male,Freelancer,iOS,5.2,4.9,9,7.1,1,6,4,6.9,sem estresse
U49,25,Female,Freelancer,iOS,10.4,1.5,9,4.3,8,37,5,9.0,muito estressado
U50,42,Male,Business Owner,iOS,8.1,4.5,4,5.6,2,26,3,9.8,sem estresse
U51,23,Female,Student,Android,9.7,6.0,1,8.6,4,34,6,10.1,baixo estresse
U52,53,Female,Freelancer,Android,6.8,7.2,9,7.5,10,37,2,12.3,muito estressado
U53,36,Female,Freelancer,iOS,4.0,5.0,6,6.9,9,32,3,13.0,muito estressado
U54,58,Male,Professional,Android,6.0,7.3,2,4.5,1,33,4,9.1,sem estresse
U55,57,Female,Professional,Android,11.7,5.9,10,5.8,3,12,5,14.0,baixo estresse
U56,41,Female,Professional,iOS,6.3,2.6,1,4.8,4,35,3,8.2,baixo estresse
U57,54,Male,Student,Android,3.8,7.8,5,8.9,9,24,6,5.6,muito estressado
U58,30,Female,Professional,iOS,3.5,2.3,8,4.3,1,49,6,12.2,sem estresse
U59,22,Female,Freelancer,Android,2.0,7.9,5,4.9,6,40,5,2.7,estressado
U60,20,Male,Freelancer,Android,9.8,6.8,1,8.2,8,43,0,12.2,muito estressado
U61,60,Female,Freelancer,Android,1.4,4.7,6,7.2,8,5,2,6.4,muito estressado
U62,32,Male,Professional,Android,9.7,7.3,2,5.8,5,45,0,10.5,estressado
U63,36,Female,Professional,iOS,5.0,3.4,3,7.7,3,45,1,8.2,baixo estresse
U64,23,Female,Freelancer,iOS,3.9,7.7,6,5.0,6,24,0,3.7,estressado
U65,32,Female,Freelancer,Android,5.7,5.2,8,5.7,2,16,6,2.7,sem estresse
U66,24,Female,Professional,iOS,5.7,1.8,7,5.4,1,31,6,7.6,sem estresse
U67,42,Other,Professional,Android,8.1,4.6,3,8.2,5,13,6,9.6,estressado
U68,35,Other,Professional,Android,3.7,4.2,10,5.6,4,58,4,11.3,baixo estresse
U69,47,Other,Student,Android,10.2,2.4,4,5.3,10,16,4,5.4,muito estressado
U70,58,Other,Business Owner,iOS,7.4,8.0,10,4.7,9,41,5,9.6,muito estressado
U71,41,Other,Student,Android,3.7,0.9,2,7.2,6,55,0,12.4,estressado
U72,28,Male,Student,iOS,4.3,7.1,5,6.1,4,9,6,7.1,baixo estresse
U73,41,Other,Freelancer,Android,11.5,4.6,6,6.6,7,52,3,11.1,estressado
U74,40,Female,Student,iOS,9.1,6.1,6,7.4,10,27,6,10.6,muito estressado
U75,31,Other,Freelancer,iOS,4.5,7.2,1,5.8,7,15,6,11.6,estressado
U76,60,Other,Student,Android,10.1,7.5,5,6.8,2,53,5,9.1,sem estresse
U77,35,Female,Student,Android,6.7,3.8,1,5.1,8,45,3,8.0,muito estressado
U78,59,Other,Business Owner,Android,10.2,5.5,10,5.0,8,60,5,12.0,muito estressado
U79,22,Female,Business Owner,iOS,6.6,3.0,6,7.0,9,36,2,12.8,muito estressado
U80,56,Female,Professional,iOS,1.6,4.7,7,7.6,6,8,4,11.5,estressado
U81,58,Male,Professional,iOS,4.7,3.8,10,7.6,5,32,3,11.1,estressado
U82,28,Other,Professional,iOS,11.7,3.9,4,4.6,4,6,6,3.0,baixo estresse
U83,52,Other,Business Owner,Android,11.3,2.8,9,6.4,1,16,1,2.5,sem estresse
U84,33,Other,Professional,iOS,8.6,6.7,1,9.0,3,44,0,13.7,baixo estresse
U85,28,Male,Freelancer,iOS,10.8,1.2,5,4.6,4,28,5,13.4,baixo estresse
U86,47,Male,Student,Android,2.9,2.1,7,7.5,8,10,4,5.0,muito estressado
U87,42,Other,Student,iOS,9.3,7.1,5,7.9,5,26,6,8.9,estressado
U88,35,Female,Business Owner,Android,9.4,1.3,7,7.9,4,35,6,2.4,baixo estresse
U89,58,Other,Professional,iOS,11.4,4.4,9,6.6,9,30,5,11.9,muito estressado
U90,53,Male,Freelancer,Android,10.3,7.9,10,4.9,10,20,3,11.7,muito estressado
U91,32,Female,Student,iOS,6.4,7.9,9,5.3,6,39,1,4.4,estressado
U92,38,Other,Freelancer,Android,10.3,3.3,9,4.7,10,33,1,7.6,muito estressado
U93,21,Other,Professional,Android,1.5,7.3,1,6.9,4,44,3,12.0,baixo estresse
U94,32,Female,Freelancer,Android,1.4,2.3,1,5.3,1,11,1,10.5,sem estresse
U95,20,Female,Professional,iOS,3.7,4.3,10,4.1,8,15,2,10.6,muito estressado
U96,38,Male,Freelancer,iOS,3.0,5.0,7,7.5,6,16,6,7.6,estressado
U97,43,Male,Business Owner,iOS,8.7,2.7,4,6.5,1,25,4,4.7,sem estresse
U98,35,Other,Business Owner,iOS,5.5,6.4,3,5.5,6,29,5,8.6,estressado
U99,22,Male,Freelancer,Android,10.7,2.9,6,4.5,1,8,6,2.8,sem estresse
U100,31,Other,Student,iOS,9.4,2.8,3,7.6,9,35,3,13.7,muito estressado
U101,54,Male,Freelancer,Android,3.4,8.0,6,5.9,1,28,3,10.7,sem estresse
U102,38,Female,Freelancer,Android,1.3,1.5,6,5.2,2,17,1,11.3,sem estresse
U103,31,Male,Student,Android,4.6,6.4,4,8.2,6,10,0,13.7,estressado
U104,59,Other,Freelancer,Android,5.8,6.0,3,4.0,3,6,3,5.3,baixo estresse
U105,49,Female,Business Owner,iOS,3.8,7.2,4,5.1,9,17,0,13.3,muito estressado
U106,43,Female,Student,iOS,1.3,6.9,3,7.3,5,28,1,9.8,estressado
U107,59,Other,Business Owner,iOS,9.9,1.9,3,7.3,10,21,6,9.8,muito estressado
U108,47,Male,Freelancer,iOS,7.8,7.9,1,5.0,9,46,1,8.3,muito estressado
U109,27,Female,Freelancer,iOS,11.8,6.5,3,8.7,10,46,3,13.7,muito estressado
U110,34,Male,Freelancer,Android,6.0,6.7,3,6.4,6,5,2,10.6,estressado
U111,26,Female,Business Owner,iOS,9.1,3.2,4,6.7,9,9,6,3.9,muito estressado
U112,33,Other,Professional,Android,9.4,5.7,7,5.2,1,38,3,11.9,sem estresse
U113,53,Female,Business Owner,iOS,10.3,6.8,1,5.3,5,44,5,9.9,estressado
U114,52,Male,Student,iOS,5.1,6.0,5,6.2,4,43,0,11.6,baixo estresse
U115,34,Other,Student,Android,3.0,6.4,8,8.3,4,8,6,8.9,baixo estresse
U116,55,Female,Business Owner,Android,8.8,1.1,4,5.3,5,56,0,6.5,estressado
U117,45,Female,Student,iOS,2.6,3.6,9,4.3,7,28,0,6.5,estressado
U118,55,Other,Freelancer,Android,4.9,6.7,10,6.7,6,53,1,2.9,estressado
U119,43,Other,Student,iOS,8.4,7.1,6,6.4,9,15,3,5.9,muito estressado
U120,41,Male,Professional,Android,7.2,1.6,4,8.9,10,16,3,12.9,muito estressado
U121,32,Female,Student,Android,5.5,7.2,3,5.8,1,43,5,9.3,sem estresse
U122,26,Female,Student,iOS,5.8,4.3,4,4.8,5,45,0,2.5,estressado
U123,50,Female,Business Owner,Android,3.9,7.5,1,4.6,2,12,1,7.9,sem estresse
U124,49,Female,Professional,iOS,6.2,3.8,8,8.7,8,20,5,10.9,muito estressado
U125,23,Male,Freelancer,iOS,3.7,1.7,10,7.4,5,10,0,6.0,estressado
U126,21,Male,Student,Android,5.2,4.0,7,6.8,10,26,4,2.3,muito estressado
U127,25,Female,Business Owner,Android,9.1,3.7,8,7.9,9,16,3,7.7,muito estressado
U128,27,Other,Student,Android,10.6,1.6,7,4.2,6,29,4,4.4,estressado
U129,58,Male,Professional,iOS,9.4,7.4,5,7.6,2,51,3,9.4,sem estresse
U130,28,Male,Professional,iOS,5.9,4.6,5,9.0,1,53,4,6.3,sem estresse
U131,45,Female,Business Owner,iOS,2.3,3.4,10,5.6,4,48,1,8.4,baixo estresse
U132,56,Male,Professional,Android,5.6,6.1,1,6.4,10,29,6,10.3,muito estressado
U133,22,Female,Professional,Android,1.9,4.5,1,7.5,7,12,6,12.4,estressado
U134,42,Male,Business Owner,iOS,9.3,3.5,3,7.7,7,14,1,4.3,estressado
U135,42,Female,Student,iOS,5.1,0.8,7,8.6,5,6,1,13.9,estressado
U136,56,Female,Student,Android,3.1,1.4,7,7.7,10,57,5,4.8,muito estressado
U137,47,Female,Freelancer,Android,10.0,7.6,6,8.1,6,19,5,5.5,estressado
U138,51,Female,Business Owner,Android,7.8,3.7,4,7.4,3,58,1,11.2,baixo estresse
U139,34,Male,Business Owner,Android,4.2,1.5,6,7.4,10,8,1,5.5,muito estressado
U140,53,Other,Business Owner,Android,2.5,3.3,1,8.0,9,51,2,9.0,muito estressado
U141,18,Male,Business Owner,Android,3.3,6.8,1,8.6,5,59,4,12.0,estressado
U142,25,Male,Freelancer,iOS,11.2,1.0,8,4.1,8,52,4,8.7,muito estressado
U143,52,Female,Professional,Android,2.4,4.1,6,7.0,6,21,2,7.3,estressado
U144,35,Other,Professional,Android,7.8,3.0,7,4.2,5,51,3,5.2,estressado
U145,59,Male,Business Owner,iOS,7.2,5.3,9,5.2,5,6,1,6.2,estressado
U146,39,Male,Freelancer,iOS,5.0,1.4,9,5.9,3,34,2,5.7,baixo estresse
U147,25,Male,Student,Android,2.5,5.1,7,8.2,9,5,1,9.6,muito estressado
U148,36,Other,Business Owner,Android,6.2,1.4,5,6.4,7,36,0,8.8,estressado
U149,45,Female,Student,iOS,4.8,1.9,1,7.2,2,15,6,10.9,sem estresse
U150,28,Male,Freelancer,iOS,2.8,2.8,9,8.6,6,43,2,9.3,estressado
U151,47,Other,Business Owner,iOS,6.9,6.5,1,5.0,7,56,0,3.0,estressado
U152,18,Female,Freelancer,iOS,3.4,4.8,1,4.9,1,16,4,9.1,sem estresse
U153,34,Female,Freelancer,iOS,8.0,3.6,8,7.4,6,52,1,12.5,estressado
U154,50,Male,Professional,Android,9.8,3.6,8,4.6,10,59,5,7.3,muito estressado
U155,29,Male,Professional,iOS,7.5,5.9,4,5.6,9,24,0,8.5,muito estressado
U156,50,Other,Student,iOS,5.8,1.0,7,7.7,4,37,3,8.6,baixo estresse
U157,24,Other,Professional,Android,3.1,6.7,5,6.2,2,16,2,12.8,sem estresse
U158,58,Female,Professional,iOS,5.2,3.2,2,5.7,6,19,6,6.7,estressado
U159,37,Female,Freelancer,Android,5.3,3.2,7,9.0,7,52,1,4.7,estressado
U160,58,Male,Student,iOS,3.9,4.5,10,8.1,9,15,1,11.3,muito estressado
U161,50,Other,Student,iOS,11.9,0.7,8,6.5,10,15,3,9.2,muito estressado
U162,56,Female,Professional,Android,5.0,2.9,2,5.7,10,30,5,13.5,muito estressado
U163,30,Male,Professional,iOS,4.9,7.5,5,6.3,3,27,3,11.9,baixo estresse
U164,27,Female,Professional,Android,2.1,7.1,7,5.0,1,41,0,6.5,sem estresse
U165,41,Female,Student,Android,8.2,7.7,1,8.1,1,24,2,5.4,sem estresse
U166,28,Male,Student,iOS,2.4,7.8,7,6.1,7,41,2,5.7,estressado
U167,52,Female,Student,Android,11.5,6.2,3,4.2,5,27,5,2.8,estressado
U168,51,Female,Student,Android,3.9,0.6,2,8.8,3,55,3,8.7,baixo estresse
U169,18,Other,Professional,Android,2.3,0.8,7,4.4,1,55,6,11.5,sem estresse
U170,56,Other,Freelancer,Android,11.0,7.3,1,6.1,3,40,1,8.4,baixo estresse
U171,38,Other,Professional,Android,5.1,6.9,9,6.6,2,56,2,6.1,sem estresse
U172,49,Male,Freelancer,iOS,2.5,4.3,7,4.3,1,56,5,10.4,sem estresse
U173,19,Other,Student,Android,5.8,4.0,9,8.8,8,26,4,8.9,muito estressado
U174,25,Female,Freelancer,Android,11.1,1.2,2,5.2,1,10,5,2.1,sem estresse
U175,41,Other,Professional,Android,11.6,7.6,7,6.6,2,12,2,2.6,sem estresse
U176,37,Other,Professional,iOS,10.3,7.8,9,4.9,6,18,3,3.9,estressado
U177,33,Male,Student,Android,3.7,5.6,5,6.5,3,57,2,3.3,baixo estresse
U178,21,Other,Professional,iOS,5.1,4.7,8,5.0,8,11,2,12.9,muito estressado
U179,33,Male,Student,Android,5.3,1.3,6,6.6,7,31,2,10.9,estressado
U180,54,Female,Freelancer,Android,7.9,2.2,1,4.4,3,51,1,12.5,baixo estresse
U181,23,Male,Student,Android,3.8,6.5,10,6.1,3,41,4,7.3,baixo estresse
U182,23,Female,Student,Android,10.2,2.9,2,5.0,8,49,3,9.6,muito estressado
U183,49,Male,Student,iOS,3.6,2.2,2,4.6,5,50,2,11.8,estressado
U184,22,Male,Student,iOS,5.9,5.6,8,4.9,2,52,2,7.7,sem estresse
U185,52,Female,Freelancer,iOS,2.7,5.2,6,7.4,1,23,3,11.6,sem estresse
U186,26,Male,Student,iOS,2.2,1.5,5,4.0,4,25,6,5.4,baixo estresse
U187,26,Male,Business Owner,iOS,6.1,6.6,4,4.9,5,29,3,4.9,estressado
U188,60,Female,Business Owner,iOS,6.0,7.2,6,7.9,9,40,5,12.5,muito estressado
U189,48,Male,Freelancer,Android,2.5,2.9,1,6.7,8,46,5,8.2,muito estressado
U190,53,Other,Professional,Android,3.6,4.5,9,4.4,4,42,5,11.6,baixo estresse
U191,28,Other,Freelancer,iOS,2.0,7.4,6,5.4,4,18,3,4.6,baixo estresse
U192,34,Male,Business Owner,iOS,1.4,2.2,9,8.1,1,25,4,2.8,sem estresse
U193,51,Other,Student,Android,3.3,4.3,7,5.9,6,41,0,13.3,estressado
U194,56,Other,Freelancer,Android,3.0,7.6,4,6.8,3,39,0,9.0,baixo estresse
U195,45,Male,Student,iOS,2.8,4.9,5,7.7,1,33,4,5.1,sem estresse
U196,31,Female,Student,iOS,4.5,5.6,5,7.4,2,30,0,7.2,sem estresse
U197,52,Other,Student,iOS,5.0,3.3,9,5.7,10,54,2,5.3,muito estressado
U198,30,Male,Freelancer,iOS,4.0,3.0,4,8.1,1,43,3,4.6,sem estresse
U199,37,Other,Freelancer,Android,8.4,5.0,4,8.6,3,49,1,3.6,baixo estresse
U200,43,Male,Professional,iOS,8.4,1.0,8,8.6,4,26,4,7.9,baixo estresse
U201,60,Male,Business Owner,Android,5.1,3.1,2,8.9,9,53,5,13.8,muito estressado
U202,59,Female,Student,iOS,2.5,2.8,5,7.8,4,17,3,13.6,baixo estresse
U203,41,Female,Business Owner,iOS,5.3,1.4,10,8.4,3,17,1,6.8,baixo estresse
U204,46,Male,Professional,iOS,1.8,4.5,6,8.5,6,5,4,11.9,estressado
U205,51,Female,Student,iOS,5.5,4.8,9,7.4,1,13,6,9.6,sem estresse
U206,46,Male,Business Owner,Android,6.6,1.7,7,8.6,5,11,5,12.5,estressado
U207,25,Male,Freelancer,iOS,7.5,6.0,2,8.3,7,15,5,9.6,estressado
U208,33,Male,Freelancer,Android,3.4,7.3,2,4.4,10,10,2,6.4,muito estressado
U209,32,Female,Business Owner,iOS,7.2,7.2,6,4.2,9,13,3,3.7,muito estressado
U210,22,Male,Student,iOS,1.9,5.7,4,6.4,3,58,6,4.2,baixo estresse
U211,39,Female,Business Owner,iOS,2.5,4.3,9,6.8,8,48,5,7.2,muito estressado
U212,19,Female,Freelancer,iOS,11.1,5.4,5,5.5,1,6,5,12.6,sem estresse
U213,55,Other,Freelancer,iOS,11.4,2.1,1,5.2,3,13,1,7.1,baixo estresse
U214,53,Female,Professional,Android,4.3,7.2,8,7.4,4,57,1,14.0,baixo estresse
U215,32,Female,Professional,iOS,3.1,3.4,3,5.1,9,59,2,7.1,muito estressado
U216,55,Female,Freelancer,Android,7.0,5.9,9,5.3,2,52,2,6.7,sem estresse
U217,32,Female,Freelancer,Android,11.1,1.2,10,6.0,1,13,4,7.6,sem estresse
U218,18,Other,Business Owner,iOS,1.1,6.4,6,5.3,7,36,3,6.1,estressado
U219,22,Female,Business Owner,Android,8.5,3.5,5,7.0,2,5,2,12.5,sem estresse
U220,58,Other,Professional,Android,7.2,5.6,3,6.8,10,42,4,10.1,muito estressado
U221,21,Other,Student,iOS,4.5,3.0,10,4.3,10,27,0,6.1,muito estressado
U222,32,Male,Business Owner,Android,3.1,7.9,1,4.6,5,14,6,13.1,estressado
U223,22,Other,Student,iOS,6.5,6.9,2,4.4,7,17,1,7.7,estressado
U224,20,Other,Student,Android,2.6,2.0,10,7.1,3,23,3,4.2,baixo estresse
U225,39,Female,Business Owner,Android,7.3,2.3,6,7.8,5,52,1,8.8,estressado
U226,22,Female,Business Owner,iOS,2.0,6.9,4,6.6,10,19,0,7.2,muito estressado
U227,50,Other,Freelancer,Android,10.9,7.8,5,7.0,8,15,4,13.8,muito estressado
U228,33,Female,Student,iOS,9.6,5.8,7,5.3,8,59,5,2.5,muito estressado
U229,35,Other,Business Owner,Android,10.3,2.9,7,8.8,8,41,0,3.6,muito estressado
U230,60,Other,Freelancer,Android,2.5,6.5,8,6.3,2,20,6,2.8,sem estresse
U231,49,Female,Business Owner,Android,4.9,5.0,9,5.3,4,29,3,13.6,baixo estresse
U232,31,Female,Student,iOS,10.3,1.7,3,7.8,3,42,0,10.1,baixo estresse
U233,52,Other,Student,iOS,4.8,3.4,8,6.1,10,12,3,8.9,muito estressado
U234,26,Other,Freelancer,Android,5.6,7.8,3,7.9,2,15,0,2.0,sem estresse
U235,54,Male,Professional,Android,10.3,7.6,7,7.6,1,45,3,11.4,sem estresse
U236,54,Other,Freelancer,iOS,8.5,5.8,3,5.2,7,37,4,12.5,estressado
U237,48,Female,Student,iOS,2.2,2.0,9,7.7,5,21,1,10.7,estressado
U238,33,Female,Business Owner,Android,6.2,6.4,8,4.6,1,29,1,2.6,sem estresse
U239,48,Other,Professional,iOS,6.0,5.6,8,7.8,5,41,0,9.9,estressado
U240,44,Other,Freelancer,iOS,2.9,3.3,7,6.7,3,26,6,3.5,baixo estresse
U241,30,Male,Freelancer,iOS,10.1,0.9,1,5.3,6,50,6,13.6,estressado
U242,24,Male,Student,Android,3.1,2.6,1,8.0,1,40,2,8.5,sem estresse
U243,24,Male,Business Owner,Android,8.6,6.1,2,8.0,8,57,0,8.2,muito estressado
U244,60,Female,Business Owner,Android,4.8,7.5,6,4.8,1,46,2,6.1,sem estresse
U245,45,Female,Freelancer,iOS,10.7,2.4,1,5.5,1,54,6,7.1,sem estresse
U246,40,Female,Professional,iOS,6.7,1.8,3,4.6,2,10,1,10.9,sem estresse
U247,45,Other,Student,iOS,4.3,6.1,6,6.5,9,23,2,4.2,muito estressado
U248,44,Female,Freelancer,Android,10.0,1.8,2,8.3,8,60,1,2.5,muito estressado
U249,47,Male,Freelancer,Android,3.4,3.3,4,7.0,6,25,2,10.2,estressado
U250,21,Other,Freelancer,iOS,5.0,5.6,8,6.1,9,13,1,13.6,muito estressado
U251,59,Female,Business Owner,Android,2.6,0.5,8,8.8,8,44,1,3.4,muito estressado
U252,59,Female,Business Owner,iOS,3.1,4.9,8,7.3,1,59,2,10.0,sem estresse
U253,24,Other,Freelancer,iOS,10.6,7.3,10,4.7,1,18,2,8.8,sem estresse
U254,21,Female,Student,iOS,7.3,2.6,8,8.5,8,15,1,5.4,muito estressado
U255,43,Other,Business Owner,Android,4.3,3.2,1,7.9,9,30,5,9.7,muito estressado
U256,39,Other,Professional,iOS,5.3,5.9,6,5.3,3,11,0,12.1,baixo estresse
U257,24,Male,Professional,iOS,3.1,2.9,5,8.1,3,56,4,9.5,baixo estresse
U258,33,Other,Freelancer,Android,4.9,3.7,4,4.8,3,29,5,4.1,baixo estresse
U259,30,Female,Professional,Android,2.7,2.4,7,4.8,5,26,3,14.0,estressado
U260,30,Male,Professional,iOS,3.4,3.1,10,4.8,4,58,4,7.0,baixo estresse
U261,52,Female,Freelancer,iOS,11.7,4.8,7,5.5,8,15,2,6.6,muito estressado
U262,46,Other,Student,iOS,1.6,6.8,1,7.6,9,59,1,4.4,muito estressado
U263,26,Female,Freelancer,iOS,2.6,7.7,4,4.6,7,39,3,12.5,estressado
U264,45,Female,Student,Android,7.2,4.1,6,6.0,6,29,2,2.5,estressado
U265,29,Other,Student,Android,7.6,4.0,6,7.3,3,51,4,3.7,baixo estresse
U266,35,Other,Professional,Android,10.1,7.6,2,7.6,2,12,2,2.0,sem estresse
U267,47,Male,Business Owner,iOS,2.9,4.8,3,7.7,3,54,4,6.1,baixo estresse
U268,33,Male,Freelancer,iOS,3.6,6.2,5,9.0,4,36,0,12.0,baixo estresse
U269,22,Male,Student,iOS,11.0,3.4,10,8.9,4,55,2,9.4,baixo estresse
U270,46,Male,Business Owner,Android,4.4,2.5,6,5.5,7,11,1,13.7,estressado
U271,53,Male,Professional,Android,1.1,6.8,5,4.5,8,36,0,4.8,muito estressado
U272,24,Female,Business Owner,iOS,10.1,5.2,8,4.8,6,48,0,11.5,estressado
U273,21,Male,Freelancer,Android,9.3,2.7,8,7.2,2,23,3,12.7,sem estresse
U274,59,Other,Professional,Android,10.9,7.2,9,7.6,10,43,3,2.3,muito estressado
U275,52,Other,Student,iOS,9.5,1.7,3,6.6,3,41,5,3.0,baixo estresse
U276,18,Male,Freelancer,iOS,6.9,4.3,8,6.6,10,41,3,3.5,muito estressado
U277,23,Male,Business Owner,iOS,10.4,5.9,5,6.8,2,13,6,8.9,sem estresse
U278,33,Female,Business Owner,Android,2.9,6.3,8,4.2,8,38,6,9.9,muito estressado
U279,28,Female,Student,Android,1.8,7.0,2,4.8,7,21,3,7.1,estressado
U280,44,Other,Freelancer,iOS,3.3,0.7,5,7.2,3,59,5,5.3,baixo estresse
U281,49,Male,Professional,iOS,10.6,5.3,1,5.2,4,58,1,6.1,baixo estresse
U282,48,Female,Professional,iOS,2.0,5.8,10,7.9,10,37,6,9.0,muito estressado
U283,31,Male,Student,iOS,11.9,6.1,2,7.5,2,40,0,5.0,sem estresse
U284,43,Female,Business Owner,iOS,8.4,5.6,4,7.8,7,34,5,5.2,estressado
U285,21,Male,Freelancer,iOS,5.3,2.8,8,8.1,4,19,3,13.7,baixo estresse
U286,28,Male,Business Owner,Android,8.5,2.5,5,7.2,9,7,3,6.2,muito estressado
U287,42,Other,Freelancer,Android,9.0,3.8,10,5.2,5,31,4,3.7,estressado
U288,18,Other,Business Owner,Android,5.6,3.3,8,4.7,10,35,6,6.3,muito estressado
U289,42,Other,Professional,Android,5.6,7.6,5,4.3,6,13,6,11.4,estressado
U290,34,Male,Professional,iOS,5.4,0.6,8,6.9,5,12,4,9.0,estressado
U291,47,Male,Freelancer,Android,10.0,3.5,3,6.7,5,8,6,2.5,estressado
U292,36,Male,Business Owner,iOS,10.7,6.8,6,7.0,1,35,5,3.1,sem estresse
U293,45,Male,Student,iOS,3.2,0.9,1,4.0,2,55,4,5.4,sem estresse
U294,53,Other,Professional,iOS,9.0,7.6,10,8.4,8,13,2,10.5,muito estressado
U295,60,Female,Business Owner,iOS,6.2,2.0,3,6.1,3,29,1,3.5,baixo estresse
U296,49,Other,Business Owner,iOS,8.6,5.5,7,6.0,2,15,1,8.7,sem estresse
U297,27,Other,Student,Android,2.4,1.5,6,8.3,3,19,5,6.9,baixo estresse
U298,30,Male,Business Owner,iOS,7.9,7.0,5,8.1,9,18,6,10.8,muito estressado
U299,36,Other,Business Owner,Android,8.5,3.4,3,7.9,1,5,2,11.0,sem estresse
U300,31,Male,Student,iOS,8.8,1.7,4,4.6,9,59,5,2.4,muito estressado
